"Guid","AccountId","AssistantName","AssistantPhone","Birthdate","Department","Description","Email","EmailBouncedReason","Fax","FirstName","HomePhone","Jigsaw","LastName","LeadSource","MailingCity","MailingCountry","MailingGeocodeAccuracy","MailingLatitude","MailingLongitude","MailingPostalCode","MailingState","MailingStreet","MobilePhone","OtherCity","OtherCountry","OtherGeocodeAccuracy","OtherLatitude","OtherLongitude","OtherPhone","OtherPostalCode","OtherState","OtherStreet","Phone","ReportsToId","Salutation","Title","ccrz__CompanyName__c","ccrz__CompanyType__c","ccrz__DataId__c","ccrz__IsPortalUser__c","ccrz__SelfRegistered__c"
0103bbb5-893b-4139-98c9-0bfaa01386b0,7eec69d5-c57b-41a2-888b-9d1a16aebb06,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+547@gmail.com.invalid,"#N/A","#N/A",Hermine,"#N/A","#N/A",Giavani,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A","Vice President, IT",Prodly,"#N/A","#N/A",false,false
0253f045-c1ac-425a-a14d-8a53536684ab,877e70fd-5ad4-4a16-80df-10b4f839691d,"#N/A",(03) 7634 7672,"#N/A",Marketing,"#N/A",jmanningcongagdo+694@gmail.com.invalid,"#N/A",(03) 7634 7672,Darsey,"#N/A","#N/A",Jaye,"#N/A",Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,350 Collins Street,0421 867 466,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,350 Collins Street,(03) 7634 7672,"#N/A","#N/A",SVP Marketing,Prodly,"#N/A","#N/A",false,false
0325b296-cc3d-4811-ab5e-de416744de72,67ed0a65-2dc8-4e05-9c9d-2260d04e9a8e,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+213@gmail.com.invalid,"#N/A","#N/A",Abbey,"#N/A","#N/A",Norbie,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0110,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
039a462b-d219-4ccf-bc3b-15cac0dbb40d,472f415d-678d-4f6c-ad95-3ba0b32c84b1,"#N/A","#N/A","#N/A","#N/A","As CEO – AT&T International, Lee leads the strategy, marketing, and operations of providing mobile services to more than 13 million consumers and businesses in Mexico and pay-TV services to more than 13 million subscribers across 11 countries and territories in Latin America and the Caribbean.",jmanningcongagdo+537@gmail.com.invalid,"#N/A","#N/A",Karalee,"#N/A","#N/A",Nilson,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(803) 709-7634,"#N/A","#N/A",CEO - International and Global Marketing Officer,Prodly,"#N/A","#N/A",false,false
03bea543-1213-4f6b-944c-3026f25fd624,86e71c4b-70c8-4fdf-acc6-4ccf256d455b,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+318@gmail.com.invalid,"#N/A","#N/A",Wilone,"#N/A","#N/A",Kienan,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",202-555-0113,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0445a66c-bfd3-4039-a90f-36cea6fa77c5,1f91e051-2cbc-4d63-a978-a3bc1f4d4974,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+607@gmail.com.invalid,"#N/A","#N/A",Jayme,"#N/A","#N/A",Lemmie,"#N/A","#N/A",USA,"#N/A","#N/A","#N/A",31410,GA,50137 Brickson Park Alley,"#N/A",Savannah,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prodly,"#N/A","#N/A",false,false
0449a716-190a-40a5-a002-2309a0da58b0,75223672-eca6-4901-affb-b9e0802b8b02,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+120@gmail.com.invalid,"#N/A","#N/A",Danice,"#N/A","#N/A",Galvin,"#N/A",Marple,UK,"#N/A","#N/A","#N/A",SK6 4HJ,"#N/A",14 Ross Road,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",85 0017 4455,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
044b8a3b-9eb3-49ba-80b1-f8e45c7ff286,1ec93c6c-5a9b-46bd-a126-479b0e2f4d08,"#N/A","#N/A","#N/A","#N/A","Ms. Seeger has been Executive Vice President and General Counsel of the Company since July 2014. Ms. Seeger joined American Express from McKesson Corporation, a health care services company, where she served as Executive Vice President, General Counsel and Chief Compliance Officer since 2006.",jmanningcongagdo+382@gmail.com.invalid,"#N/A","#N/A",Dee Dee,"#N/A","#N/A",Cleon,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(249) 826-9818,"#N/A","#N/A",EVP & General Counsel,Prodly,"#N/A","#N/A",false,false
0578e086-e95f-4825-b4a9-dda2e0a53363,f006c775-6747-440a-bd6c-8363eb6ebcc4,"#N/A","#N/A","#N/A","#N/A","Darius Adamczyk became President and CEO of Honeywell in April 2017 and was elected to the Company’s Board of Directors in 2016. Previously, Adamczyk served as Honeywell’s President and Chief Operating Officer, responsible for driving continued profitable growth of the Company’s operating businesses through HOS Gold breakthrough growth strategies, including advanced software offerings that complement a diverse technology portfolio.",jmanningcongagdo+235@gmail.com.invalid,"#N/A","#N/A",Gleda,"#N/A","#N/A",Jacob,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",(939) 937-4190,"#N/A","#N/A",CEO,Prodly,"#N/A","#N/A",false,false
0632e595-03e3-4986-adbe-b57d7aaba0ce,9bcb24e8-8d86-49bf-8957-8450c6a8de5d,"#N/A","#N/A","#N/A","#N/A","#N/A",jmanningcongagdo+478@gmail.com.invalid,"#N/A","#N/A",Jeanne,"#N/A","#N/A",Bartolomeo,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",011 49 69 3576 6843,"#N/A","#N/A",COO,Prodly,"#N/A","#N/A",false,false
